decile,count,ev,model
1,50108,-0.5600702482637503,pred_histgb
2,49919,-0.45400548889200504,pred_histgb
3,49974,-0.3695721775323168,pred_histgb
4,49999,-0.25504510090201804,pred_histgb
5,50002,-0.19911203551857926,pred_histgb
6,50199,-0.09205362656626626,pred_histgb
7,49851,0.0381536980200999,pred_histgb
8,49951,0.25462953694620727,pred_histgb
9,49997,0.5122907374442467,pred_histgb
10,50000,1.06178,pred_histgb
1,50000,-0.55557,pred_mlp
2,50000,-0.45349,pred_mlp
3,50000,-0.36899,pred_mlp
4,50000,-0.25916,pred_mlp
5,50000,-0.19624,pred_mlp
6,50000,-0.09456,pred_mlp
7,50000,0.03568,pred_mlp
8,50000,0.25682,pred_mlp
9,50000,0.51611,pred_mlp
10,50000,1.05535,pred_mlp
