decile,count,ev,model
1,50108,-0.5600702482637503,pred_histgb
2,49919,-0.45400548889200504,pred_histgb
3,49974,-0.3695721775323168,pred_histgb
4,49999,-0.25504510090201804,pred_histgb
5,50002,-0.19911203551857926,pred_histgb
6,50199,-0.09205362656626626,pred_histgb
7,49851,0.0381536980200999,pred_histgb
8,49951,0.25462953694620727,pred_histgb
9,49997,0.5122907374442467,pred_histgb
10,50000,1.06178,pred_histgb
1,50000,-0.55557,pred_mlp
2,50000,-0.45349,pred_mlp
3,50000,-0.36899,pred_mlp
4,50000,-0.25916,pred_mlp
5,50000,-0.19624,pred_mlp
6,50000,-0.09456,pred_mlp
7,50000,0.03568,pred_mlp
8,50000,0.25682,pred_mlp
9,50000,0.51611,pred_mlp
10,50000,1.05535,pred_mlp
1,70468,-0.032461542827950274,score_true_count
2,60234,-0.019814390543546834,score_true_count
3,231859,-0.0051281166571062586,score_true_count
4,62390,6.411283859592884e-05,score_true_count
5,32627,0.004260275232169676,score_true_count
6,42422,0.03122200744896516,score_true_count
1,53523,-0.03129495730807316,score_run_count
2,59117,-0.0219902904409899,score_run_count
3,42485,-0.0169471578204072,score_run_count
4,50315,-0.007681605882937494,score_run_count
5,54685,-0.005330529395629515,score_run_count
6,53541,-0.0014848433910461141,score_run_count
7,47319,-0.002842410025571124,score_run_count
8,54742,0.002228636147747616,score_run_count
9,37434,0.007372976438531816,score_run_count
10,46839,0.021061508571916566,score_run_count
