model,top_k,n_rows,ev
pred_histgb,0.5,250000,0.354816
pred_histgb,0.2,100000,0.78701
pred_histgb,0.1,50000,1.06178
pred_histgb,0.05,25000,1.39576
pred_histgb,0.02,10000,1.5
pred_histgb,0.01,5000,1.5
pred_mlp,0.5,250000,0.35388
pred_mlp,0.2,100000,0.78573
pred_mlp,0.1,50000,1.05535
pred_mlp,0.05,25000,1.39708
pred_mlp,0.02,10000,1.49955
pred_mlp,0.01,5000,1.5
score_true_count,0.5,250000,0.0032
score_true_count,0.2,100000,0.014315
score_true_count,0.1,50000,0.02707
score_true_count,0.05,25000,0.03442
score_true_count,0.02,10000,0.0569
score_true_count,0.01,5000,0.068
score_run_count,0.5,250000,0.004248
score_run_count,0.2,100000,0.01297
score_run_count,0.1,50000,0.01988
score_run_count,0.05,25000,0.0284
score_run_count,0.02,10000,0.03585
score_run_count,0.01,5000,0.0411
