decile,count,ev,model
1,50108,-0.5566383278784492,pred_histgb
2,49919,-0.4531113737588226,pred_histgb
3,49974,-0.3669658222275583,pred_histgb
4,49999,-0.255632445982253,pred_histgb
5,50002,-0.20047698092076316,pred_histgb
6,50199,-0.09448528191132625,pred_histgb
7,49851,0.02201426918884944,pred_histgb
8,49951,0.1814257972813357,pred_histgb
9,49997,0.43265995959757586,pred_histgb
10,50000,1.04838,pred_histgb
1,50000,-0.5554433333333334,pred_mlp
2,50000,-0.45012066666666667,pred_mlp
3,50000,-0.36740333333333336,pred_mlp
4,50000,-0.2595456666666667,pred_mlp
5,50000,-0.19554333333333332,pred_mlp
6,50000,-0.09776166666666666,pred_mlp
7,50000,0.019513047619047617,pred_mlp
8,50000,0.19323061904761904,pred_mlp
9,50000,0.43536833333333336,pred_mlp
10,50000,1.03395,pred_mlp
1,70468,-0.04507966466373119,score_true_count
2,60234,-0.0361119412070702,score_true_count
3,231859,-0.02318410265352157,score_true_count
4,62390,-0.01892958273227547,score_true_count
5,32627,-0.018019329594098955,score_true_count
6,42422,0.007270205710873289,score_true_count
1,53523,-0.04328744295954654,score_run_count
2,59117,-0.03806632046055562,score_run_count
3,42485,-0.035110823427876504,score_run_count
4,50315,-0.02613813924655622,score_run_count
5,54685,-0.023098220544503802,score_run_count
6,53541,-0.018886060615763086,score_run_count
7,47319,-0.02023530264194691,score_run_count
8,54742,-0.01907828236698209,score_run_count
9,37434,-0.014025573898951042,score_run_count
10,46839,-0.00026687162407395545,score_run_count
