model,top_k,n_rows,ev
pred_histgb,0.5,250000,0.3178778666666666
pred_histgb,0.2,100000,0.740497
pred_histgb,0.1,50000,1.04838
pred_histgb,0.05,25000,1.39096
pred_histgb,0.02,10000,1.5
pred_histgb,0.01,5000,1.5
pred_mlp,0.5,250000,0.31686006666666666
pred_mlp,0.2,100000,0.7346591666666665
pred_mlp,0.1,50000,1.03395
pred_mlp,0.05,25000,1.39276
pred_mlp,0.02,10000,1.49955
pred_mlp,0.01,5000,1.5
score_true_count,0.5,250000,-0.017151942857142857
score_true_count,0.2,100000,-0.007447833333333333
score_true_count,0.1,50000,0.004030999999999999
score_true_count,0.05,25000,0.012216666666666666
score_true_count,0.02,10000,0.03381666666666666
score_true_count,0.01,5000,0.048666666666666664
score_run_count,0.5,250000,-0.015178771428571429
score_run_count,0.2,100000,-0.008358333333333334
score_run_count,0.1,50000,-0.0016166666666666675
score_run_count,0.05,25000,0.0062433333333333325
score_run_count,0.02,10000,0.012201666666666668
score_run_count,0.01,5000,0.01661666666666667
